"Name", "Stmts", "Miss", "Cover"
"gen_shared_memory/__init__.py", "9", "0", "100%"
"gen_shared_memory/core/__init__.py", "9", "0", "100%"
"gen_shared_memory/core/model/__init__.py", "9", "0", "100%"
"gen_shared_memory/core/model/project_setup.py", "14", "0", "100%"
"gen_shared_memory/core/service/__init__.py", "9", "0", "100%"
"gen_shared_memory/core/service/engine.py", "27", "0", "100%"
"gen_shared_memory/core/service/iservice.py", "14", "0", "100%"
"gen_shared_memory/core/service/isubprocessor.py", "14", "0", "100%"
"gen_shared_memory/engine.py", "57", "0", "100%"
"gen_shared_memory/infrastructure/__init__.py", "9", "0", "100%"
"gen_shared_memory/infrastructure/cli/__init__.py", "9", "0", "100%"
"gen_shared_memory/infrastructure/cli/engine.py", "38", "0", "100%"
"gen_shared_memory/infrastructure/cli/icli.py", "14", "0", "100%"
"gen_shared_memory/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"gen_shared_memory/infrastructure/cli/setup/bundle.py", "22", "0", "100%"
"gen_shared_memory/infrastructure/cli/setup/dep_validator.py", "36", "0", "100%"
"gen_shared_memory/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"gen_shared_memory/infrastructure/cli/setup/factory.py", "35", "0", "100%"
"gen_shared_memory/infrastructure/cli/setup/keys.py", "26", "0", "100%"
"gen_shared_memory/infrastructure/cli/setup/opt_validator.py", "36", "0", "100%"
"gen_shared_memory/infrastructure/cli/setup/options.py", "15", "0", "100%"
"gen_shared_memory/infrastructure/cli/setup/registry.py", "24", "0", "100%"
"gen_shared_memory/infrastructure/cli/setup/validator.py", "43", "0", "100%"
"gen_shared_memory/infrastructure/command/__init__.py", "9", "0", "100%"
"gen_shared_memory/infrastructure/command/command.py", "16", "0", "100%"
"gen_shared_memory/infrastructure/command/gen_shared_memory_command_definition.py", "24", "0", "100%"
"gen_shared_memory/infrastructure/command/gen_shared_memory_command_executor.py", "23", "0", "100%"
"gen_shared_memory/infrastructure/command/icommand_definition.py", "14", "0", "100%"
"gen_shared_memory/infrastructure/command/icommand_executor.py", "14", "0", "100%"
"gen_shared_memory/infrastructure/subprocessor.py", "57", "0", "100%"
"gen_shared_memory/setup/__init__.py", "9", "0", "100%"
"gen_shared_memory/setup/bundle.py", "23", "0", "100%"
"gen_shared_memory/setup/dep_validator.py", "36", "0", "100%"
"gen_shared_memory/setup/dependencies.py", "19", "0", "100%"
"gen_shared_memory/setup/factory.py", "48", "0", "100%"
"gen_shared_memory/setup/keys.py", "27", "0", "100%"
"gen_shared_memory/setup/opt_validator.py", "34", "0", "100%"
"gen_shared_memory/setup/options.py", "12", "0", "100%"
"gen_shared_memory/setup/registry.py", "32", "0", "100%"
"gen_shared_memory/setup/validator.py", "48", "0", "100%"
"Total", "941", "0", "100%"
